Points_0,Points_1,Points_2,Points_Magnitude,STLSolidLabeling,Point ID
0.00632009,0.00353847,0.000354555,0.0072519,0,0
0.00629019,0.00207693,0.00070911,0.00666205,0,1
0.00632009,0.00103847,0.000354555,0.00641465,0,2
0.00617141,0.00165386,0.0014082,0.00654252,0,3
0.00632009,0.196462,-0.000354555,0.196563,0,4
0.00629019,0.197923,-0.00070911,0.198024,0,5
0.00632009,0.198962,-0.000354555,0.199062,0,6
0.00617141,0.198346,-0.0014082,0.198447,0,7
0.00483164,0.193507,-0.00409477,0.19361,0,8
0.00480203,0.194513,-0.00412945,0.194617,0,9
0.0051346,0.195353,-0.00370779,0.195456,0,10
0.00440253,0.194681,-0.00455298,0.194784,0,11
-0.00633612,0.197179,-3.09131e-05,0.197281,0,12
-0.00633171,0.196886,-0.000238421,0.196987,0,13
-0.0063347,0.196409,0.000137649,0.196511,0,14
-0.00628307,0.197069,-0.000818752,0.19717,0,15
0.00434106,0.17344,-0.00461292,0.173556,0,16
0.00427084,0.174928,-0.004678,0.175043,0,17
0.00462047,0.176318,-0.00433302,0.176432,0,18
0.00382013,0.175026,-0.00505276,0.175141,0,19
0.00396843,0.00816116,-0.00488132,0.0103044,0,20
0.00296702,0.00882233,-0.0055473,0.0108356,0,21
0.002521,0.0100317,-0.00576371,0.0118411,0,22
0.00231463,0.00827409,-0.00584964,0.0103941,0,23
-0.00502248,0.0057753,0.00384689,0.00856609,0,24
-0.00475836,0.00511408,0.00416914,0.00813496,0,25
-0.00421746,0.00497978,0.0047156,0.00805121,0,26
-0.00498499,0.00458715,0.00389534,0.00781446,0,27
0.0013833,0.128694,-0.0061555,0.128849,0,28
0.00135207,0.126841,-0.00616243,0.126998,0,29
0.000468319,0.126004,-0.00629161,0.126162,0,30
0.00217931,0.125825,-0.00592066,0.125983,0,31
-0.000411934,0.126661,-0.00629293,0.126818,0,32
-0.000398781,0.128154,-0.00629377,0.128309,0,33
0.000512698,0.129351,-0.00628552,0.129504,0,34
-0.0012893,0.128451,-0.0061732,0.128606,0,35
0.00458411,0.0133013,-0.00430509,0.014713,0,36
0.00407474,0.0146536,-0.00479002,0.015946,0,37
0.00446886,0.0160768,-0.0044246,0.017263,0,38
0.00306653,0.0145826,-0.00549038,0.0158808,0,39
0.00459258,0.186727,0.00429525,0.186833,0,40
0.00407837,0.185368,0.00478621,0.185475,0,41
0.00447033,0.183934,0.00442234,0.184041,0,42
0.00306644,0.185443,0.0054898,0.18555,0,43
-0.00525732,0.0454839,0.00342443,0.0459146,0,44
-0.00496002,0.0469852,0.00384243,0.0474023,0,45
-0.0054362,0.0483299,0.0031327,0.0487354,0,46
-0.00402267,0.0471418,0.004815,0.0475575,0,47
0.00334204,0.0012046,0.0053883,0.006454,0,48
0.00319502,0.00150371,0.00547676,0.00651645,0,49
0.00277026,0.00156138,0.00570339,0.00653,0,50
0.00345936,0.00174515,0.00531374,0.00657636,0,51
0.00412991,0.056877,-0.00464461,0.0572155,0,52
0.00339145,0.0554364,-0.00520832,0.0557837,0,53
0.00176006,0.0554765,-0.00596077,0.0558235,0,54
0.00411679,0.0539557,-0.00465625,0.0543125,0,55
-0.00290692,0.152992,0.00552232,0.15312,0,56
