Cell Type,Point Index 0,Point Index 1,Point Index 2,STLSolidLabeling,Cell ID
5,0,1,2,0,0
5,1,3,2,0,1
5,1,4,3,0,2
5,2,3,5,0,3
5,6,7,8,0,4
5,7,9,8,0,5
5,7,10,9,0,6
5,8,9,11,0,7
5,12,13,14,0,8
5,13,15,14,0,9
5,13,16,15,0,10
5,14,15,17,0,11
5,18,19,20,0,12
5,19,21,20,0,13
5,19,22,21,0,14
5,20,21,23,0,15
5,24,25,26,0,16
5,25,27,26,0,17
5,25,28,27,0,18
5,26,27,29,0,19
5,30,31,32,0,20
5,31,33,32,0,21
5,31,34,33,0,22
5,32,33,35,0,23
5,36,37,38,0,24
5,37,39,38,0,25
5,37,40,39,0,26
5,38,39,41,0,27
5,42,43,44,0,28
5,43,45,44,0,29
5,43,46,45,0,30
5,44,45,47,0,31
5,46,43,48,0,32
5,43,49,48,0,33
5,43,42,49,0,34
5,48,49,50,0,35
5,51,52,53,0,36
5,52,54,53,0,37
5,52,55,54,0,38
5,53,54,56,0,39
5,57,58,59,0,40
5,58,60,59,0,41
5,58,61,60,0,42
5,59,60,62,0,43
5,63,64,65,0,44
5,64,66,65,0,45
5,64,67,66,0,46
5,65,66,68,0,47
5,69,70,71,0,48
5,70,72,71,0,49
5,70,73,72,0,50
5,71,72,74,0,51
5,75,76,77,0,52
5,76,78,77,0,53
5,76,79,78,0,54
5,77,78,80,0,55
5,81,82,83,0,56
5,82,84,83,0,57
5,82,85,84,0,58
5,83,84,86,0,59
5,81,87,82,0,60
5,87,88,82,0,61
5,87,89,88,0,62
5,82,88,85,0,63
5,4,90,3,0,64
5,90,91,3,0,65
5,90,92,91,0,66
5,3,91,5,0,67
5,93,94,95,0,68
5,94,96,95,0,69
5,94,97,96,0,70
5,95,96,98,0,71
5,99,100,101,0,72
5,100,102,101,0,73
5,100,103,102,0,74
5,101,102,104,0,75
5,67,64,105,0,76
5,64,106,105,0,77
5,64,63,106,0,78
5,105,106,107,0,79
5,108,109,110,0,80
5,109,111,110,0,81
5,109,112,111,0,82
5,110,111,113,0,83
5,114,115,116,0,84
5,115,117,116,0,85
5,115,118,117,0,86
5,116,117,119,0,87
5,10,120,9,0,88
5,120,121,9,0,89
5,120,122,121,0,90
5,9,121,11,0,91
5,30,123,31,0,92
5,123,124,31,0,93
5,123,51,124,0,94
5,31,124,34,0,95
5,113,111,125,0,96
5,111,126,125,0,97
5,111,112,126,0,98
5,125,126,127,0,99
5,128,129,130,0,100
5,129,131,130,0,101
5,129,132,131,0,102
5,130,131,133,0,103
5,97,94,134,0,104
5,94,135,134,0,105
5,94,93,135,0,106
5,134,135,136,0,107
5,137,138,139,0,108
5,138,140,139,0,109
5,138,141,140,0,110
5,139,140,142,0,111
5,132,129,143,0,112
5,129,144,143,0,113
5,129,128,144,0,114
5,143,144,145,0,115
5,146,147,148,0,116
5,147,149,148,0,117
5,147,150,149,0,118
5,148,149,151,0,119
5,152,153,154,0,120
5,153,155,154,0,121
5,153,156,155,0,122
5,154,155,157,0,123
5,158,159,160,0,124
5,159,161,160,0,125
5,159,12,161,0,126
5,160,161,162,0,127
5,163,164,165,0,128
5,164,166,165,0,129
5,164,0,166,0,130
5,165,166,167,0,131
5,24,168,25,0,132
5,168,169,25,0,133
5,168,170,169,0,134
5,25,169,28,0,135
5,103,171,172,0,136
5,171,159,172,0,137
5,171,12,159,0,138
5,172,159,158,0,139
5,173,174,175,0,140
5,174,176,175,0,141
5,174,177,176,0,142
5,175,176,35,0,143
5,73,178,179,0,144
5,178,180,179,0,145
5,178,181,180,0,146
5,179,180,182,0,147
5,22,183,21,0,148
5,183,184,21,0,149
5,183,185,184,0,150
5,21,184,23,0,151
5,186,187,188,0,152
5,187,58,188,0,153
5,187,61,58,0,154
5,188,58,57,0,155
5,6,189,190,0,156
5,189,191,190,0,157
5,189,192,191,0,158
5,190,191,112,0,159
5,193,194,195,0,160
5,194,196,195,0,161
5,194,197,196,0,162
5,195,196,198,0,163
5,199,200,201,0,164
5,200,202,201,0,165
5,200,203,202,0,166
5,201,202,204,0,167
5,36,205,37,0,168
5,205,206,37,0,169
5,205,207,206,0,170
5,37,206,40,0,171
5,208,209,210,0,172
5,209,52,210,0,173
5,209,55,52,0,174
5,210,52,51,0,175
5,119,117,211,0,176
5,117,212,211,0,177
5,117,118,212,0,178
5,211,212,213,0,179
5,150,147,214,0,180
5,147,215,214,0,181
5,147,146,215,0,182
5,214,215,216,0,183
5,99,217,100,0,184
5,217,218,100,0,185
5,217,186,218,0,186
5,100,218,103,0,187
5,203,200,219,0,188
5,200,220,219,0,189
5,200,199,220,0,190
5,219,220,221,0,191
5,197,222,196,0,192
5,222,223,196,0,193
5,222,224,223,0,194
5,196,223,198,0,195
5,225,226,227,0,196
5,226,228,227,0,197
5,226,229,228,0,198
5,227,228,230,0,199
5,231,232,233,0,200
5,232,234,233,0,201
5,232,235,234,0,202
5,233,234,236,0,203
5,237,238,239,0,204
5,238,240,239,0,205
5,238,241,240,0,206
5,239,240,242,0,207
5,243,244,245,0,208
5,244,246,245,0,209
5,244,247,246,0,210
5,245,246,248,0,211
5,249,250,251,0,212
5,250,252,251,0,213
5,250,55,252,0,214
5,251,252,253,0,215
5,254,255,256,0,216
5,255,257,256,0,217
5,255,258,257,0,218
5,256,257,259,0,219
5,260,261,262,0,220
5,261,263,262,0,221
5,261,264,263,0,222
5,262,263,265,0,223
5,266,267,268,0,224
5,267,269,268,0,225
5,267,270,269,0,226
5,268,269,86,0,227
5,237,271,238,0,228
5,271,272,238,0,229
5,271,273,272,0,230
5,238,272,241,0,231
5,224,274,223,0,232
5,274,275,223,0,233
5,274,276,275,0,234
5,223,275,198,0,235
5,277,278,279,0,236
5,278,280,279,0,237
5,278,281,280,0,238
5,279,280,5,0,239
5,282,283,284,0,240
5,283,285,284,0,241
5,283,286,285,0,242
5,284,285,173,0,243
5,287,288,289,0,244
5,288,290,289,0,245
5,288,291,290,0,246
5,289,290,98,0,247
5,292,293,294,0,248
5,293,251,294,0,249
5,293,249,251,0,250
5,294,251,253,0,251
5,295,296,297,0,252
5,296,298,297,0,253
5,296,299,298,0,254
5,297,298,300,0,255
5,79,301,78,0,256
5,301,302,78,0,257
5,301,303,302,0,258
5,78,302,80,0,259
5,0,304,305,0,260
5,304,306,305,0,261
5,304,30,306,0,262
5,305,306,307,0,263
5,173,285,308,0,264
5,285,309,308,0,265
5,285,286,309,0,266
5,308,309,299,0,267
5,158,310,311,0,268
5,310,312,311,0,269
5,310,313,312,0,270
5,311,312,314,0,271
5,315,316,317,0,272
5,316,318,317,0,273
5,316,319,318,0,274
5,317,318,320,0,275
5,299,321,298,0,276
5,321,322,298,0,277
5,321,323,322,0,278
5,298,322,300,0,279
5,243,324,244,0,280
5,324,325,244,0,281
5,324,36,325,0,282
5,244,325,247,0,283
5,326,327,328,0,284
5,327,329,328,0,285
5,327,330,329,0,286
5,328,329,331,0,287
5,156,153,332,0,288
5,153,333,332,0,289
5,153,152,333,0,290
5,332,333,334,0,291
5,335,336,337,0,292
5,336,125,337,0,293
5,336,113,125,0,294
5,337,125,127,0,295
5,338,339,340,0,296
5,339,341,340,0,297
5,339,342,341,0,298
5,340,341,343,0,299
5,344,345,346,0,300
5,345,347,346,0,301
5,345,348,347,0,302
5,346,347,349,0,303
5,350,351,352,0,304
5,351,353,352,0,305
5,351,354,353,0,306
5,352,353,355,0,307
5,356,357,358,0,308
5,357,359,358,0,309
5,357,61,359,0,310
5,358,359,360,0,311
5,79,76,361,0,312
5,76,362,361,0,313
5,76,75,362,0,314
5,361,362,363,0,315
5,364,365,366,0,316
5,365,367,366,0,317
5,365,368,367,0,318
5,366,367,369,0,319
5,12,370,13,0,320
5,370,371,13,0,321
5,370,6,371,0,322
5,13,371,16,0,323
5,372,373,374,0,324
5,373,375,374,0,325
5,373,376,375,0,326
5,374,375,377,0,327
5,282,284,378,0,328
5,284,175,378,0,329
5,284,173,175,0,330
5,378,175,35,0,331
5,379,380,381,0,332
5,380,382,381,0,333
5,380,383,382,0,334
5,381,382,384,0,335
5,114,385,386,0,336
5,385,226,386,0,337
5,385,229,226,0,338
5,386,226,225,0,339
5,387,388,389,0,340
5,388,317,389,0,341
5,388,315,317,0,342
5,389,317,320,0,343
5,330,390,391,0,344
5,390,392,391,0,345
5,390,393,392,0,346
5,391,392,394,0,347
5,73,179,72,0,348
5,179,395,72,0,349
5,179,182,395,0,350
5,72,395,74,0,351
5,396,397,398,0,352
5,397,399,398,0,353
5,397,400,399,0,354
5,398,399,401,0,355
5,402,403,404,0,356
5,403,405,404,0,357
5,403,406,405,0,358
5,404,405,407,0,359
5,408,409,410,0,360
5,409,358,410,0,361
5,409,356,358,0,362
5,410,358,360,0,363
5,185,411,412,0,364
5,411,413,412,0,365
5,411,414,413,0,366
5,412,413,415,0,367
5,416,417,418,0,368
5,417,419,418,0,369
5,417,420,419,0,370
5,418,419,421,0,371
5,350,352,422,0,372
5,352,423,422,0,373
5,352,355,423,0,374
5,422,423,118,0,375
5,396,398,424,0,376
5,398,425,424,0,377
5,398,401,425,0,378
5,424,425,426,0,379
5,427,428,429,0,380
5,428,411,429,0,381
5,428,414,411,0,382
5,429,411,185,0,383
5,97,430,96,0,384
5,430,289,96,0,385
5,430,287,289,0,386
5,96,289,98,0,387
5,431,432,433,0,388
5,432,434,433,0,389
5,432,435,434,0,390
5,433,434,436,0,391
5,108,437,109,0,392
5,437,190,109,0,393
5,437,6,190,0,394
5,109,190,112,0,395
5,192,438,439,0,396
5,438,440,439,0,397
5,438,441,440,0,398
5,439,440,57,0,399
5,442,443,444,0,400
5,443,445,444,0,401
5,443,446,445,0,402
5,444,445,28,0,403
5,22,447,448,0,404
5,447,449,448,0,405
5,447,450,449,0,406
5,448,449,259,0,407
5,6,451,189,0,408
5,451,438,189,0,409
5,451,441,438,0,410
5,189,438,192,0,411
5,452,453,454,0,412
5,453,340,454,0,413
5,453,338,340,0,414
5,454,340,343,0,415
5,455,456,457,0,416
5,456,458,457,0,417
5,456,459,458,0,418
5,457,458,460,0,419
5,30,461,123,0,420
5,461,462,123,0,421
5,461,197,462,0,422
5,123,462,51,0,423
5,463,464,465,0,424
