Points_0,Points_1,Points_2,Points_Magnitude,Point ID
0.00635,0.005,3.88825e-19,0.00808223,0
0.00635,0.0025,3.88825e-19,0.0068244,1
0.00626028,0.0031154,0.00106366,0.00707306,2
0.00626028,0.000615398,0.00106366,0.00637975,3
0.00635,0,0,0.00635,4
0.00599366,0.0012308,0.00209727,0.00646818,5
0.00635,0.195,3.88825e-19,0.195103,6
0.00635,0.1975,3.88825e-19,0.197602,7
0.00626028,0.196885,-0.00106366,0.196987,8
0.00626028,0.199385,-0.00106366,0.199486,9
0.00635,0.2,0,0.200101,10
0.00599366,0.198769,-0.00209727,0.198871,11
0.00487362,0.1925,-0.00407066,0.192605,12
0.00517459,0.194346,-0.0036805,0.19445,13
0.00444669,0.193674,-0.00453315,0.193778,14
0.00478481,0.19552,-0.0041747,0.195623,15
0.0054444,0.196193,-0.00326818,0.196296,16
0.00397608,0.194848,-0.00495109,0.194951,17
-0.00634755,0.197472,0.000176446,0.197574,18
-0.00634061,0.196703,0.000345239,0.196805,19
-0.0063202,0.197362,-0.000614424,0.197464,20
-0.00633431,0.196592,-0.000446079,0.196695,21
-0.00632918,0.195933,0.000513787,0.196036,22
-0.00619471,0.197252,-0.00139575,0.197354,23
0.00442094,0.171953,-0.00455826,0.17207,24
0.00469679,0.17483,-0.00427348,0.174946,25
0.00390543,0.173539,-0.00500701,0.173655,26
0.00421029,0.176416,-0.00475352,0.176531,27
0.00495433,0.177708,-0.00397204,0.177822,28
0.00334468,0.175124,-0.00539774,0.17524,29
0.00487362,0.0075,-0.00407066,0.00982713,30
0.00360978,0.00937056,-0.00522417,0.0113195,31
0.00342189,0.00761293,-0.00534913,0.00991358,32
0.00186939,0.00948349,-0.0060686,0.0114131,33
0.00208382,0.0112411,-0.00599835,0.0129107,34
0.0016526,0.00772585,-0.00613118,0.0100006,35
-0.00528362,0.00643653,0.00352219,0.00904165,36
-0.00453454,0.00564101,0.00444527,0.00849373,37
-0.00524927,0.00524837,0.00357319,0.0082382,38
-0.00449129,0.00445285,0.00448897,0.00775567,39
-0.00362654,0.00484549,0.00521255,0.00798757,40
-0.00521442,0.00406022,0.00362385,0.0075371,41
0.00142337,0.130547,-0.00618842,0.130701,42
0.000503151,0.127857,-0.00633003,0.128015,43
0.00222337,0.127678,-0.00594804,0.127836,44
0.00132969,0.124988,-0.00620922,0.125149,45
-0.000427888,0.125167,-0.00633557,0.125328,46
0.00298488,0.124809,-0.00560473,0.12497,47
-0.00131107,0.126958,-0.00621318,0.127117,48
-0.00038843,0.129648,-0.00633811,0.129803,49
-0.00216839,0.128748,-0.0059683,0.128905,50
0.00508168,0.011949,-0.00380776,0.0135315,51
0.00497939,0.0147245,-0.00394058,0.0160354,52
0.00369127,0.0132303,-0.00516692,0.0146753,53
0.00355357,0.0160058,-0.00526257,0.0172194,54
0.00487362,0.0175,-0.00407066,0.0186165,55
0.00195476,0.0145116,-0.00604164,0.0158401,56
0.00509416,0.188086,0.00379105,0.188193,57
0.00498585,0.185293,0.0039324,0.185402,58
0.00369774,0.186802,0.00516229,0.18691,59
0.00355153,0.184009,0.00526395,0.184119,60
0.00487362,0.1825,0.00407066,0.18261,61
0.00195006,0.185518,0.00604316,0.185627,62
-0.0055825,0.0439827,0.00302625,0.0444387,63
-0.00573919,0.0468286,0.00271739,0.0472572,64
-0.00445027,0.0456405,0.00452963,0.0460802,65
-0.00469061,0.0484865,0.00428027,0.0489005,66
-0.00587881,0.0496745,0.00240045,0.0500787,67
-0.00292712,0.0472984,0.00563511,0.0477228,68
0.00349153,0.000905493,0.00530393,0.00641424,69
0.00292763,0.00126227,0.00563484,0.00647424,70
0.00360697,0.00144604,0.00522612,0.00651257,71
0.00305046,0.00180282,0.00556931,0.00660096,72
0.0023327,0.00161904,0.00590602,0.00655315,73
0.00372067,0.00198659,0.00514579,0.0066535,74
0.00486679,0.0583176,-0.00407883,0.0586623,75
0.00266768,0.0569171,-0.00576246,0.0572702,76
0.00485526,0.0553963,-0.00409254,0.0557591,77
0.00265141,0.0539958,-0.00576997,0.0543679,78
-3.8908e-05,0.0555165,-0.00634988,0.0558785,79
0.00484369,0.0524751,-0.00410623,0.0528579,80
-0.00369507,0.154593,0.0051642,0.154724,81
-0.0013912,0.152206,0.00619573,0.152338,82
-0.00363448,0.152178,0.00520702,0.152311,83
-0.00131871,0.149791,0.00621156,0.149925,84
0.00113252,0.149819,0.00624819,0.149953,85
-0.00357339,0.149763,0.00524913,0.149898,86
-0.00135823,0.155089,0.00620304,0.155219,87
0.00116573,0.152702,0.00624208,0.152834,88
